method	path	path_html	app	controller	action	auth	auth_required	desc	file	line
POST	/api/pay/submit	/api/pay/submit.html	api	Pay	submit	api-token(Userid)	yes	提交订单	app/api/controller/Pay.php	44
POST	/api/screen/index	/api/screen/index.html	api	Screen	index	api-token(Userid)	no	图形数据	app/api/controller/Screen.php	62
POST	/api/screen/list	/api/screen/list.html	api	Screen	list	api-token(Userid)	yes	列表数据	app/api/controller/Screen.php	384
POST	/api/screen/login	/api/screen/login.html	api	Screen	login	api-token(Userid)	no	大屏登录接口，返回 token	app/api/controller/Screen.php	38
POST	/api/seller/bindCheckOpenid	/api/seller/bindCheckOpenid.html	api	Seller	bindCheckOpenid	api-token(Userid)	yes	返回商家信息	app/api/controller/Seller.php	208
POST	/api/seller/cate	/api/seller/cate.html	api	Seller	cate	api-token(Userid)	no	返回商家分类	app/api/controller/Seller.php	30
POST	/api/seller/detail	/api/seller/detail.html	api	Seller	detail	api-token(Userid)	no	返回商家详细信息	app/api/controller/Seller.php	114
POST	/api/seller/list	/api/seller/list.html	api	Seller	list	api-token(Userid)	no	返回商家信息	app/api/controller/Seller.php	48
POST	/api/seller/search	/api/seller/search.html	api	Seller	search	api-token(Userid)	yes	返回商家信息	app/api/controller/Seller.php	192
UNKNOWN	/api/system/alert_push	/api/system/alert_push.html	api	System	alert_push	api-token(Userid)	no		app/api/controller/System.php	1147
UNKNOWN	/api/system/cleanDb	/api/system/cleanDb.html	api	System	cleanDb	api-token(Userid)	no		app/api/controller/System.php	175
UNKNOWN	/api/system/invalid_tour	/api/system/invalid_tour.html	api	System	invalid_tour	api-token(Userid)	no		app/api/controller/System.php	1313
UNKNOWN	/api/system/notification	/api/system/notification.html	api	System	notification	api-token(Userid)	no		app/api/controller/System.php	1233
UNKNOWN	/api/system/queryArea	/api/system/queryArea.html	api	System	queryArea	api-token(Userid)	no		app/api/controller/System.php	493
UNKNOWN	/api/system/remake	/api/system/remake.html	api	System	remake	api-token(Userid)	no		app/api/controller/System.php	541
UNKNOWN	/api/system/remake_lxs	/api/system/remake_lxs.html	api	System	remake_lxs	api-token(Userid)	no		app/api/controller/System.php	823
UNKNOWN	/api/system/remake_ticket	/api/system/remake_ticket.html	api	System	remake_ticket	api-token(Userid)	no		app/api/controller/System.php	1319
POST	/api/system/rollback_remain_count	/api/system/rollback_remain_count.html	api	System	rollback_remain_count	api-token(Userid)	no	回滚消费券剩余数量	app/api/controller/System.php	31
UNKNOWN	/api/system/rollback_remain_count_extend	/api/system/rollback_remain_count_extend.html	api	System	rollback_remain_count_extend	api-token(Userid)	no		app/api/controller/System.php	94
UNKNOWN	/api/system/rollback_set_data	/api/system/rollback_set_data.html	api	System	rollback_set_data	api-token(Userid)	no		app/api/controller/System.php	62
POST	/api/system/set_tour_invalid	/api/system/set_tour_invalid.html	api	System	set_tour_invalid	api-token(Userid)	no	团状态等于确认团且不能是无效团的，团期超过当前时间 没有游客  没有导游 没有领券的 将团设置无效	app/api/controller/System.php	124
UNKNOWN	/api/system/tableTohtml	/api/system/tableTohtml.html	api	System	tableTohtml	api-token(Userid)	no		app/api/controller/System.php	229
UNKNOWN	/api/system/tableTohtml1	/api/system/tableTohtml1.html	api	System	tableTohtml1	api-token(Userid)	no		app/api/controller/System.php	373
POST	/api/system/XdataSummary	/api/system/XdataSummary.html	api	System	XdataSummary	api-token(Userid)	no		app/api/controller/System.php	997
UNKNOWN	/api/test/clb	/api/test/clb.html	api	Test	clb	api-token(Userid)	unknown		app/api/controller/Test.php	69
UNKNOWN	/api/test/getUserTaohua	/api/test/getUserTaohua.html	api	Test	getUserTaohua	api-token(Userid)	unknown		app/api/controller/Test.php	344
UNKNOWN	/api/test/index	/api/test/index.html	api	Test	index	api-token(Userid)	unknown		app/api/controller/Test.php	16
UNKNOWN	/api/test/rsyncTaohua	/api/test/rsyncTaohua.html	api	Test	rsyncTaohua	api-token(Userid)	unknown		app/api/controller/Test.php	105
