method	path	path_html	app	controller	action	auth	auth_required	desc	file	line
UNKNOWN	/admin/accounting/edit	/admin/accounting/edit.html	admin	Accounting	edit	session(PHPSESSID)	unknown		app/admin/controller/Accounting.php	99
UNKNOWN	/admin/accounting/editPost	/admin/accounting/editPost.html	admin	Accounting	editPost	session(PHPSESSID)	unknown		app/admin/controller/Accounting.php	123
UNKNOWN	/admin/accounting/index	/admin/accounting/index.html	admin	Accounting	index	session(PHPSESSID)	unknown		app/admin/controller/Accounting.php	31
UNKNOWN	/admin/accounting/write_off_ids	/admin/accounting/write_off_ids.html	admin	Accounting	write_off_ids	session(PHPSESSID)	unknown		app/admin/controller/Accounting.php	74
UNKNOWN	/admin/admin/add	/admin/admin/add.html	admin	Admin	add	session(PHPSESSID)	unknown		app/admin/controller/Admin.php	61
UNKNOWN	/admin/admin/addPost	/admin/admin/addPost.html	admin	Admin	addPost	session(PHPSESSID)	unknown		app/admin/controller/Admin.php	76
UNKNOWN	/admin/admin/del	/admin/admin/del.html	admin	Admin	del	session(PHPSESSID)	unknown		app/admin/controller/Admin.php	181
UNKNOWN	/admin/admin/edit	/admin/admin/edit.html	admin	Admin	edit	session(PHPSESSID)	unknown		app/admin/controller/Admin.php	117
UNKNOWN	/admin/admin/editpass	/admin/admin/editpass.html	admin	Admin	editpass	session(PHPSESSID)	unknown		app/admin/controller/Admin.php	226
UNKNOWN	/admin/admin/editpassPost	/admin/admin/editpassPost.html	admin	Admin	editpassPost	session(PHPSESSID)	unknown		app/admin/controller/Admin.php	235
UNKNOWN	/admin/admin/editPost	/admin/admin/editPost.html	admin	Admin	editPost	session(PHPSESSID)	unknown		app/admin/controller/Admin.php	137
UNKNOWN	/admin/admin/index	/admin/admin/index.html	admin	Admin	index	session(PHPSESSID)	unknown		app/admin/controller/Admin.php	30
UNKNOWN	/admin/admin/selectDel	/admin/admin/selectDel.html	admin	Admin	selectDel	session(PHPSESSID)	unknown		app/admin/controller/Admin.php	196
UNKNOWN	/admin/adminlog/edit	/admin/adminlog/edit.html	admin	AdminLog	edit	session(PHPSESSID)	unknown		app/admin/controller/AdminLog.php	28
UNKNOWN	/admin/appt/logDetail	/admin/appt/logDetail.html	admin	Appt	logDetail	session(PHPSESSID)	unknown		app/admin/controller/Appt.php	97
UNKNOWN	/admin/appt/logList	/admin/appt/logList.html	admin	Appt	logList	session(PHPSESSID)	unknown		app/admin/controller/Appt.php	58
UNKNOWN	/admin/appt/sellerList	/admin/appt/sellerList.html	admin	Appt	sellerList	session(PHPSESSID)	unknown		app/admin/controller/Appt.php	15
UNKNOWN	/admin/authgroup/access	/admin/authgroup/access.html	admin	AuthGroup	access	session(PHPSESSID)	unknown		app/admin/controller/AuthGroup.php	75
UNKNOWN	/admin/authgroup/accessPost	/admin/authgroup/accessPost.html	admin	AuthGroup	accessPost	session(PHPSESSID)	unknown		app/admin/controller/AuthGroup.php	99
UNKNOWN	/admin/authgroup/index	/admin/authgroup/index.html	admin	AuthGroup	index	session(PHPSESSID)	unknown		app/admin/controller/AuthGroup.php	29
UNKNOWN	/admin/authrule/add	/admin/authrule/add.html	admin	AuthRule	add	session(PHPSESSID)	unknown		app/admin/controller/AuthRule.php	81
UNKNOWN	/admin/authrule/edit	/admin/authrule/edit.html	admin	AuthRule	edit	session(PHPSESSID)	unknown		app/admin/controller/AuthRule.php	115
UNKNOWN	/admin/authrule/index	/admin/authrule/index.html	admin	AuthRule	index	session(PHPSESSID)	unknown		app/admin/controller/AuthRule.php	28
UNKNOWN	/admin/base/add	/admin/base/add.html	admin	Base	add	session(PHPSESSID)	unknown		app/admin/controller/Base.php	340
UNKNOWN	/admin/base/addPost	/admin/base/addPost.html	admin	Base	addPost	session(PHPSESSID)	unknown		app/admin/controller/Base.php	359
UNKNOWN	/admin/base/del	/admin/base/del.html	admin	Base	del	session(PHPSESSID)	unknown		app/admin/controller/Base.php	422
UNKNOWN	/admin/base/edit	/admin/base/edit.html	admin	Base	edit	session(PHPSESSID)	unknown		app/admin/controller/Base.php	380
UNKNOWN	/admin/base/editPost	/admin/base/editPost.html	admin	Base	editPost	session(PHPSESSID)	unknown		app/admin/controller/Base.php	401
UNKNOWN	/admin/base/export	/admin/base/export.html	admin	Base	export	session(PHPSESSID)	unknown		app/admin/controller/Base.php	462
UNKNOWN	/admin/base/index	/admin/base/index.html	admin	Base	index	session(PHPSESSID)	unknown		app/admin/controller/Base.php	302
UNKNOWN	/admin/base/selectDel	/admin/base/selectDel.html	admin	Base	selectDel	session(PHPSESSID)	unknown		app/admin/controller/Base.php	434
UNKNOWN	/admin/base/sort	/admin/base/sort.html	admin	Base	sort	session(PHPSESSID)	unknown		app/admin/controller/Base.php	443
UNKNOWN	/admin/base/state	/admin/base/state.html	admin	Base	state	session(PHPSESSID)	unknown		app/admin/controller/Base.php	453
UNKNOWN	/admin/cate/add	/admin/cate/add.html	admin	Cate	add	session(PHPSESSID)	unknown		app/admin/controller/Cate.php	82
UNKNOWN	/admin/cate/addPost	/admin/cate/addPost.html	admin	Cate	addPost	session(PHPSESSID)	unknown		app/admin/controller/Cate.php	111
UNKNOWN	/admin/cate/batchAdd	/admin/cate/batchAdd.html	admin	Cate	batchAdd	session(PHPSESSID)	unknown		app/admin/controller/Cate.php	206
UNKNOWN	/admin/cate/batchAddPost	/admin/cate/batchAddPost.html	admin	Cate	batchAddPost	session(PHPSESSID)	unknown		app/admin/controller/Cate.php	311
UNKNOWN	/admin/cate/del	/admin/cate/del.html	admin	Cate	del	session(PHPSESSID)	unknown		app/admin/controller/Cate.php	192
UNKNOWN	/admin/cate/edit	/admin/cate/edit.html	admin	Cate	edit	session(PHPSESSID)	unknown		app/admin/controller/Cate.php	135
UNKNOWN	/admin/cate/editPost	/admin/cate/editPost.html	admin	Cate	editPost	session(PHPSESSID)	unknown		app/admin/controller/Cate.php	168
UNKNOWN	/admin/cate/index	/admin/cate/index.html	admin	Cate	index	session(PHPSESSID)	unknown		app/admin/controller/Cate.php	29
UNKNOWN	/admin/caterule/index	/admin/caterule/index.html	admin	CateRule	index	session(PHPSESSID)	unknown		app/admin/controller/CateRule.php	28
UNKNOWN	/admin/config/email	/admin/config/email.html	admin	Config	email	session(PHPSESSID)	unknown		app/admin/controller/Config.php	20
UNKNOWN	/admin/config/emailPost	/admin/config/emailPost.html	admin	Config	emailPost	session(PHPSESSID)	unknown		app/admin/controller/Config.php	45
UNKNOWN	/admin/config/emailSend	/admin/config/emailSend.html	admin	Config	emailSend	session(PHPSESSID)	unknown		app/admin/controller/Config.php	65
UNKNOWN	/admin/config/sms	/admin/config/sms.html	admin	Config	sms	session(PHPSESSID)	unknown		app/admin/controller/Config.php	114
UNKNOWN	/admin/config/smsPost	/admin/config/smsPost.html	admin	Config	smsPost	session(PHPSESSID)	unknown		app/admin/controller/Config.php	141
UNKNOWN	/admin/config/smsSend	/admin/config/smsSend.html	admin	Config	smsSend	session(PHPSESSID)	unknown		app/admin/controller/Config.php	156
UNKNOWN	/admin/couponconditiondetails/addCondition	/admin/couponconditiondetails/addCondition.html	admin	CouponConditionDetails	addCondition	session(PHPSESSID)	unknown		app/admin/controller/CouponConditionDetails.php	61
UNKNOWN	/admin/couponconditiondetails/addPost	/admin/couponconditiondetails/addPost.html	admin	CouponConditionDetails	addPost	session(PHPSESSID)	unknown		app/admin/controller/CouponConditionDetails.php	73
UNKNOWN	/admin/couponconditiondetails/list	/admin/couponconditiondetails/list.html	admin	CouponConditionDetails	list	session(PHPSESSID)	unknown		app/admin/controller/CouponConditionDetails.php	29
UNKNOWN	/admin/couponissue/add	/admin/couponissue/add.html	admin	CouponIssue	add	session(PHPSESSID)	unknown		app/admin/controller/CouponIssue.php	64
