method	path	path_html	app	controller	action	auth	auth_required	desc	file	line
UNKNOWN	/handheld/base/match	/handheld/base/match.html	handheld	Base	match	unknown	unknown		app/handheld/controller/Base.php	46
UNKNOWN	/handheld/login/login	/handheld/login/login.html	handheld	Login	login	unknown	unknown		app/handheld/controller/Login.php	18
UNKNOWN	/handheld/writeoff/do	/handheld/writeoff/do.html	handheld	Writeoff	do	unknown	unknown		app/handheld/controller/Writeoff.php	18
UNKNOWN	/handheld/writeoff/getData	/handheld/writeoff/getData.html	handheld	Writeoff	getData	unknown	unknown		app/handheld/controller/Writeoff.php	461
UNKNOWN	/handheld/writeoff/getList	/handheld/writeoff/getList.html	handheld	Writeoff	getList	unknown	unknown		app/handheld/controller/Writeoff.php	453
ANY	/index//	/index//.html	index			public	unknown	route => 	app/index/route/route.php	15
UNKNOWN	/index/error/index	/index/error/index.html	index	Error	index	public	unknown		app/index/controller/Error.php	42
UNKNOWN	/index/error/info	/index/error/info.html	index	Error	info	public	unknown		app/index/controller/Error.php	85
UNKNOWN	/index/index/captcha	/index/index/captcha.html	index	Index	captcha	public	unknown		app/index/controller/Index.php	88
UNKNOWN	/index/index/index	/index/index/index.html	index	Index	index	public	unknown		app/index/controller/Index.php	18
UNKNOWN	/index/index/search	/index/index/search.html	index	Index	search	public	unknown		app/index/controller/Index.php	42
UNKNOWN	/index/index/tag	/index/index/tag.html	index	Index	tag	public	unknown		app/index/controller/Index.php	65
UNKNOWN	/index/user/index	/index/user/index.html	index	User	index	public	unknown		app/index/controller/User.php	35
UNKNOWN	/index/user/login	/index/user/login.html	index	User	login	public	unknown		app/index/controller/User.php	49
UNKNOWN	/index/user/logout	/index/user/logout.html	index	User	logout	public	unknown		app/index/controller/User.php	104
UNKNOWN	/index/user/register	/index/user/register.html	index	User	register	public	unknown		app/index/controller/User.php	67
UNKNOWN	/index/user/set	/index/user/set.html	index	User	set	public	unknown		app/index/controller/User.php	79
ANY	/mobile//	/mobile//.html	mobile			public	unknown	route => 	app/mobile/route/route.php	15
UNKNOWN	/mobile/error/index	/mobile/error/index.html	mobile	Error	index	public	unknown		app/mobile/controller/Error.php	42
UNKNOWN	/mobile/error/info	/mobile/error/info.html	mobile	Error	info	public	unknown		app/mobile/controller/Error.php	85
UNKNOWN	/mobile/index/captcha	/mobile/index/captcha.html	mobile	Index	captcha	public	unknown		app/mobile/controller/Index.php	81
UNKNOWN	/mobile/index/index	/mobile/index/index.html	mobile	Index	index	public	unknown		app/mobile/controller/Index.php	18
UNKNOWN	/mobile/index/search	/mobile/index/search.html	mobile	Index	search	public	unknown		app/mobile/controller/Index.php	35
UNKNOWN	/mobile/index/tag	/mobile/index/tag.html	mobile	Index	tag	public	unknown		app/mobile/controller/Index.php	58
UNKNOWN	/mobile/user/index	/mobile/user/index.html	mobile	User	index	public	unknown		app/mobile/controller/User.php	35
UNKNOWN	/mobile/user/login	/mobile/user/login.html	mobile	User	login	public	unknown		app/mobile/controller/User.php	49
UNKNOWN	/mobile/user/logout	/mobile/user/logout.html	mobile	User	logout	public	unknown		app/mobile/controller/User.php	104
UNKNOWN	/mobile/user/register	/mobile/user/register.html	mobile	User	register	public	unknown		app/mobile/controller/User.php	67
UNKNOWN	/mobile/user/set	/mobile/user/set.html	mobile	User	set	public	unknown		app/mobile/controller/User.php	79
