phase	group	tag	miniapp_used	method	path	path_html	python_status	route_methods	method_compatible	golden_p0	golden_p0_success	auth_required	auth	contract	app	controller	action	desc	file	line
M1	A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/order/OrderTravelNotice	/xc/order/OrderTravelNotice.html	implemented	GET,POST	unknown	yes	no	no	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/order/ordertravelnotice.md	xc	Order	OrderTravelNotice		app/xc/controller/Order.php	840
M1	A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/order/PayPreOrder	/xc/order/PayPreOrder.html	implemented	GET,POST	unknown	yes	no	yes	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/order/paypreorder.md	xc	Order	PayPreOrder		app/xc/controller/Order.php	361
M1	A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/order/QueryOrder	/xc/order/QueryOrder.html	implemented	GET,POST	unknown	yes	no	yes	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/order/queryorder.md	xc	Order	QueryOrder		app/xc/controller/Order.php	589
M1	A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/order/VerifyOrder	/xc/order/VerifyOrder.html	implemented	GET,POST	unknown	yes	no	yes	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/order/verifyorder.md	xc	Order	VerifyOrder	描述：下单验证接口在客人下单时提前将下单信息提交给供应商系统进行校验，及时告知客人是否可以预定成功，有助于提高订单预定成功率和提升客人预定体验。	app/xc/controller/Order.php	719
M1	A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/order/accept	/xc/order/accept.html	implemented	GET,POST	unknown	yes	no	yes	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/order/accept.md	xc	Order	accept		app/xc/controller/Order.php	56
M1	A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/order/testGetOrder	/xc/order/testGetOrder.html	implemented	GET,POST	unknown	yes	no	no	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/order/testgetorder.md	xc	Order	testGetOrder		app/xc/controller/Order.php	860
M1	A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/ticket/OrderRefund	/xc/ticket/OrderRefund.html	implemented	GET,POST	unknown	yes	no	yes	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/ticket/orderrefund.md	xc	Ticket	OrderRefund		app/xc/controller/Ticket.php	486
M1	A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/ticket/OrderRefundDetail	/xc/ticket/OrderRefundDetail.html	implemented	GET,POST	unknown	yes	no	yes	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/ticket/orderrefunddetail.md	xc	Ticket	OrderRefundDetail		app/xc/controller/Ticket.php	336
M1	A0-external-callbacks	OTA_XC	no	POST	/xc/ticket/detail	/xc/ticket/detail.html	implemented	POST	yes	yes	no	yes	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/ticket/detail.md	xc	Ticket	detail	订单详情	app/xc/controller/Ticket.php	672
M1	A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/ticket/getTicketPirce	/xc/ticket/getTicketPirce.html	implemented	GET,POST	unknown	yes	no	yes	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/ticket/getticketpirce.md	xc	Ticket	getTicketPirce		app/xc/controller/Ticket.php	563
M1	A0-external-callbacks	OTA_XC	no	POST	/xc/ticket/list	/xc/ticket/list.html	implemented	POST	yes	yes	no	yes	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/ticket/list.md	xc	Ticket	list	获取订单列表	app/xc/controller/Ticket.php	604
M1	A0-external-callbacks	OTA_XC	no	POST	/xc/ticket/pay	/xc/ticket/pay.html	implemented	POST	yes	yes	no	yes	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/ticket/pay.md	xc	Ticket	pay	提交订单	app/xc/controller/Ticket.php	51
M1	A0-external-callbacks	OTA_XC	no	POST	/xc/ticket/refund	/xc/ticket/refund.html	implemented	POST	yes	yes	no	yes	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/ticket/refund.md	xc	Ticket	refund	提交退款整单退款	app/xc/controller/Ticket.php	421
M1	A0-external-callbacks	OTA_XC	no	POST	/xc/ticket/single_refund	/xc/ticket/single_refund.html	implemented	POST	yes	yes	no	yes	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/ticket/single_refund.md	xc	Ticket	single_refund	提交退款整单退款	app/xc/controller/Ticket.php	247
M1	A0-external-callbacks	OTA_XC	no	POST	/xc/ticket/stats	/xc/ticket/stats.html	implemented	POST	yes	yes	no	no	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/ticket/stats.md	xc	Ticket	stats	报表统计	app/xc/controller/Ticket.php	702
M1	A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/upload/index	/xc/upload/index.html	implemented	GET,POST	unknown	yes	no	yes	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/upload/index.md	xc	Upload	index		app/xc/controller/Upload.php	45
M1	A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/webupload/index	/xc/webupload/index.html	implemented	GET,POST	unknown	yes	yes	no	xc(AES+md5-sign)	docs/rewrite/contracts/p0/xc/webupload/index.md	xc	Webupload	index		app/xc/controller/Webupload.php	45
M1	A1-money	PAY_API	no	UNKNOWN	/api/pay/OrderRefund	/api/pay/OrderRefund.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/pay/orderrefund.md	api	Pay	OrderRefund		app/api/controller/Pay.php	255
M1	A1-money	PAY_API	no	UNKNOWN	/api/pay/aaa	/api/pay/aaa.html	implemented	GET,POST	unknown	yes	no	no	api-token(Userid)	docs/rewrite/contracts/p0/api/pay/aaa.md	api	Pay	aaa		app/api/controller/Pay.php	36
M1	A1-money	PAY_API	yes	POST	/api/pay/refund	/api/pay/refund.html	implemented	POST	yes	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/pay/refund.md	api	Pay	refund	提交退款	app/api/controller/Pay.php	199
