group	tag	miniapp_used	method	path	path_html	app	controller	action	auth	auth_required	contract	desc	file	line
A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/ticket/OrderRefund	/xc/ticket/OrderRefund.html	xc	Ticket	OrderRefund	xc(AES+md5-sign)	yes	docs/rewrite/contracts/p0/xc/ticket/orderrefund.md		app/xc/controller/Ticket.php	486
A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/ticket/OrderRefundDetail	/xc/ticket/OrderRefundDetail.html	xc	Ticket	OrderRefundDetail	xc(AES+md5-sign)	yes	docs/rewrite/contracts/p0/xc/ticket/orderrefunddetail.md		app/xc/controller/Ticket.php	336
A0-external-callbacks	OTA_XC	no	POST	/xc/ticket/detail	/xc/ticket/detail.html	xc	Ticket	detail	xc(AES+md5-sign)	yes	docs/rewrite/contracts/p0/xc/ticket/detail.md	订单详情	app/xc/controller/Ticket.php	672
A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/ticket/getTicketPirce	/xc/ticket/getTicketPirce.html	xc	Ticket	getTicketPirce	xc(AES+md5-sign)	yes	docs/rewrite/contracts/p0/xc/ticket/getticketpirce.md		app/xc/controller/Ticket.php	563
A0-external-callbacks	OTA_XC	no	POST	/xc/ticket/list	/xc/ticket/list.html	xc	Ticket	list	xc(AES+md5-sign)	yes	docs/rewrite/contracts/p0/xc/ticket/list.md	获取订单列表	app/xc/controller/Ticket.php	604
A0-external-callbacks	OTA_XC	no	POST	/xc/ticket/pay	/xc/ticket/pay.html	xc	Ticket	pay	xc(AES+md5-sign)	yes	docs/rewrite/contracts/p0/xc/ticket/pay.md	提交订单	app/xc/controller/Ticket.php	51
A0-external-callbacks	OTA_XC	no	POST	/xc/ticket/refund	/xc/ticket/refund.html	xc	Ticket	refund	xc(AES+md5-sign)	yes	docs/rewrite/contracts/p0/xc/ticket/refund.md	提交退款整单退款	app/xc/controller/Ticket.php	421
A0-external-callbacks	OTA_XC	no	POST	/xc/ticket/single_refund	/xc/ticket/single_refund.html	xc	Ticket	single_refund	xc(AES+md5-sign)	yes	docs/rewrite/contracts/p0/xc/ticket/single_refund.md	提交退款整单退款	app/xc/controller/Ticket.php	247
A0-external-callbacks	OTA_XC	no	POST	/xc/ticket/stats	/xc/ticket/stats.html	xc	Ticket	stats	xc(AES+md5-sign)	no	docs/rewrite/contracts/p0/xc/ticket/stats.md	报表统计	app/xc/controller/Ticket.php	702
A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/upload/index	/xc/upload/index.html	xc	Upload	index	xc(AES+md5-sign)	yes	docs/rewrite/contracts/p0/xc/upload/index.md		app/xc/controller/Upload.php	45
A0-external-callbacks	OTA_XC	no	UNKNOWN	/xc/webupload/index	/xc/webupload/index.html	xc	Webupload	index	xc(AES+md5-sign)	no	docs/rewrite/contracts/p0/xc/webupload/index.md		app/xc/controller/Webupload.php	45
A0-external-callbacks	PAY_NOTIFY	no	UNKNOWN	/api/notify/create_file	/api/notify/create_file.html	api	Notify	create_file	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/notify/create_file.md		app/api/controller/Notify.php	173
A0-external-callbacks	PAY_NOTIFY	no	UNKNOWN	/api/notify/pay_async_notice	/api/notify/pay_async_notice.html	api	Notify	pay_async_notice	api-token(Userid)	no	docs/rewrite/contracts/p0/api/notify/pay_async_notice.md		app/api/controller/Notify.php	40
A0-external-callbacks	PAY_NOTIFY	no	UNKNOWN	/api/notify/refund	/api/notify/refund.html	api	Notify	refund	api-token(Userid)	no	docs/rewrite/contracts/p0/api/notify/refund.md		app/api/controller/Notify.php	102
A1-money	PAY_API	no	UNKNOWN	/api/pay/OrderRefund	/api/pay/OrderRefund.html	api	Pay	OrderRefund	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/pay/orderrefund.md		app/api/controller/Pay.php	255
A1-money	PAY_API	no	UNKNOWN	/api/pay/aaa	/api/pay/aaa.html	api	Pay	aaa	api-token(Userid)	no	docs/rewrite/contracts/p0/api/pay/aaa.md		app/api/controller/Pay.php	36
A1-money	PAY_API	yes	POST	/api/pay/refund	/api/pay/refund.html	api	Pay	refund	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/pay/refund.md	提交退款	app/api/controller/Pay.php	199
A1-money	PAY_API	no	UNKNOWN	/api/pay/regressionStock	/api/pay/regressionStock.html	api	Pay	regressionStock	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/pay/regressionstock.md		app/api/controller/Pay.php	281
A1-money	PAY_API	yes	POST	/api/pay/submit	/api/pay/submit.html	api	Pay	submit	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/pay/submit.md	提交订单	app/api/controller/Pay.php	44
A1-money	REFUND	no	UNKNOWN	/api/ticket/OrderRefund	/api/ticket/OrderRefund.html	api	Ticket	OrderRefund	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/ticket/orderrefund.md		app/api/controller/Ticket.php	883
A1-money	REFUND	no	UNKNOWN	/api/ticket/OrderRefundDetail	/api/ticket/OrderRefundDetail.html	api	Ticket	OrderRefundDetail	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/ticket/orderrefunddetail.md		app/api/controller/Ticket.php	756
A1-money	REFUND	yes	UNKNOWN	/api/ticket/cancelRefund	/api/ticket/cancelRefund.html	api	Ticket	cancelRefund	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/ticket/cancelrefund.md		app/api/controller/Ticket.php	1973
A1-money	REFUND	yes	UNKNOWN	/api/ticket/getRefundLogDetail	/api/ticket/getRefundLogDetail.html	api	Ticket	getRefundLogDetail	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/ticket/getrefundlogdetail.md		app/api/controller/Ticket.php	1938
A1-money	REFUND	yes	UNKNOWN	/api/ticket/getRefundLogList	/api/ticket/getRefundLogList.html	api	Ticket	getRefundLogList	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/ticket/getrefundloglist.md		app/api/controller/Ticket.php	1892
A1-money	REFUND	no	UNKNOWN	/api/ticket/notify_refund	/api/ticket/notify_refund.html	api	Ticket	notify_refund	api-token(Userid)	no	docs/rewrite/contracts/p0/api/ticket/notify_refund.md		app/api/controller/Ticket.php	1008
A1-money	REFUND	yes	POST	/api/ticket/refund	/api/ticket/refund.html	api	Ticket	refund	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/ticket/refund.md	提交退款整单退款	app/api/controller/Ticket.php	802
A1-money	REFUND	yes	POST	/api/ticket/single_refund	/api/ticket/single_refund.html	api	Ticket	single_refund	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/ticket/single_refund.md	提交退款整单退款	app/api/controller/Ticket.php	660
A1-money	REFUND	no	POST	/window/ticket/refund	/window/ticket/refund.html	window	Ticket	refund	window-token(Uuid)	yes	docs/rewrite/contracts/p0/window/ticket/refund.md	提交退款整单退款	app/window/controller/Ticket.php	280
A1-money	REFUND	no	POST	/window/ticket/single_refund	/window/ticket/single_refund.html	window	Ticket	single_refund	window-token(Uuid)	yes	docs/rewrite/contracts/p0/window/ticket/single_refund.md	提交退款整单退款	app/window/controller/Ticket.php	249
A2-identity-upload	AUTH_LOGIN	yes	POST	/api/index/getuserphonenumber	/api/index/getuserphonenumber.html	api	Index	getuserphonenumber	api-token(Userid)	no	docs/rewrite/contracts/p0/api/index/getuserphonenumber.md	系统登录接口，返回 token 用于操作需验证身份的接口	app/api/controller/Index.php	133
A2-identity-upload	AUTH_LOGIN	no	POST	/api/index/miniwxlogin	/api/index/miniwxlogin.html	api	Index	miniwxlogin	api-token(Userid)	no	docs/rewrite/contracts/p0/api/index/miniwxlogin.md	系统登录接口，返回 token 用于操作需验证身份的接口	app/api/controller/Index.php	172
A2-identity-upload	AUTH_LOGIN	no	UNKNOWN	/api/user/miniwxregister	/api/user/miniwxregister.html	api	User	miniwxregister	api-token(Userid)	no	docs/rewrite/contracts/p0/api/user/miniwxregister.md		app/api/controller/User.php	1390
A2-identity-upload	SMS_ID	yes	UNKNOWN	/api/user/auth_identity	/api/user/auth_identity.html	api	User	auth_identity	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/user/auth_identity.md		app/api/controller/User.php	1167
A2-identity-upload	SMS_ID	yes	UNKNOWN	/api/user/auth_info	/api/user/auth_info.html	api	User	auth_info	api-token(Userid)	no	docs/rewrite/contracts/p0/api/user/auth_info.md		app/api/controller/User.php	82
A2-identity-upload	SMS_ID	yes	UNKNOWN	/api/user/smsVerification	/api/user/smsVerification.html	api	User	smsVerification	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/user/smsverification.md		app/api/controller/User.php	1644
A2-identity-upload	UPLOAD	no	UNKNOWN	/api/upload/index	/api/upload/index.html	api	Upload	index	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/upload/index.md		app/api/controller/Upload.php	45
A2-identity-upload	UPLOAD	no	UNKNOWN	/api/webupload/index	/api/webupload/index.html	api	Webupload	index	api-token(Userid)	no	docs/rewrite/contracts/p0/api/webupload/index.md		app/api/controller/Webupload.php	45
A2-identity-upload	UPLOAD	no	UNKNOWN	/selfservice/upload/index	/selfservice/upload/index.html	selfservice	Upload	index	selfservice-token(No)	yes	docs/rewrite/contracts/p0/selfservice/upload/index.md		app/selfservice/controller/Upload.php	45
A2-identity-upload	UPLOAD	no	UNKNOWN	/selfservice/webupload/index	/selfservice/webupload/index.html	selfservice	Webupload	index	selfservice-token(No)	no	docs/rewrite/contracts/p0/selfservice/webupload/index.md		app/selfservice/controller/Webupload.php	45
A2-identity-upload	UPLOAD	no	UNKNOWN	/window/upload/index	/window/upload/index.html	window	Upload	index	window-token(Uuid)	yes	docs/rewrite/contracts/p0/window/upload/index.md		app/window/controller/Upload.php	45
A2-identity-upload	UPLOAD	no	UNKNOWN	/window/webupload/index	/window/webupload/index.html	window	Webupload	index	window-token(Uuid)	no	docs/rewrite/contracts/p0/window/webupload/index.md		app/window/controller/Webupload.php	45
